pid,config,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
1,RMC-CMSA,2240,2250,10,2098,2194,10,49,759325,49,0
1,RMC-NoMaximin,1484,0,1505,1372,1469,11,12,763050,12,0
1,RMC-NoRelations,0,1862,10,1722,1816,10,32,761245,32,0
1,RMC-NoTerminalMemory,2256,2266,10,0,0,0,50,759260,50,0
1,RMC-NoTrajectoryEvidence,2233,2244,10,2103,2192,11,0,0,0,0
6,RMC-CMSA,1800,1818,10,221,1700,18,242,754655,242,0
6,RMC-NoMaximin,1581,0,1613,637,1543,22,341,756665,341,0
6,RMC-NoRelations,0,1474,10,354,1399,18,121,756600,121,0
6,RMC-NoTerminalMemory,1917,1939,10,0,0,0,228,753325,228,0
6,RMC-NoTrajectoryEvidence,666,762,10,226,622,96,0,0,0,0
10,RMC-CMSA,1717,1742,10,1074,1722,25,88,760725,88,0
10,RMC-NoMaximin,1997,0,2072,1447,2052,65,29,760900,29,0
10,RMC-NoRelations,0,2235,192,1906,2399,25,62,748725,62,0
10,RMC-NoTerminalMemory,1942,1903,66,0,0,0,96,757050,96,0
10,RMC-NoTrajectoryEvidence,834,902,10,601,880,68,0,0,0,0
14,RMC-CMSA,658,674,10,118,547,16,285,766880,285,0
14,RMC-NoMaximin,588,0,616,135,535,18,359,766970,359,0
14,RMC-NoRelations,0,469,10,78,357,16,50,768435,50,0
14,RMC-NoTerminalMemory,592,607,10,0,0,0,199,766905,199,0
14,RMC-NoTrajectoryEvidence,367,472,10,92,247,91,0,0,0,0
