pid,deletion,metric,n_pairs,full_mean,deletion_mean,mean_delta_full_minus_deletion,bootstrap_95_low_unadjusted,bootstrap_95_high_unadjusted,full_wins,ties,full_losses,p_two_sided_exact_signed_rank,p_holm_32,reject_holm_005
1,RMC-NoMaximin,rpr,10,0.6600000000000001,0.58,0.08,0.039999999999999994,0.13500000000000004,8,2,0,0.0078125,0.25,False
1,RMC-NoMaximin,f1,10,0.7950089126559716,0.730150972086456,0.06485794056951559,0.029878960381806707,0.115409311329615,8,2,0,0.0078125,0.25,False
1,RMC-NoRelations,rpr,10,0.6600000000000001,0.6450000000000001,0.015000000000000003,-0.009999999999999964,0.039999999999999994,3,6,1,0.5,1.0,False
1,RMC-NoRelations,f1,10,0.7950089126559716,0.7834008970156978,0.011608015640273727,-0.003565062388591789,0.030813351733655358,3,6,1,0.375,1.0,False
1,RMC-NoTerminalMemory,rpr,10,0.6600000000000001,0.6450000000000001,0.01499999999999999,0.0,0.02999999999999998,3,7,0,0.25,1.0,False
1,RMC-NoTerminalMemory,f1,10,0.7950089126559716,0.7840909090909092,0.010918003565062385,0.0,0.02183600713012477,3,7,0,0.25,1.0,False
1,RMC-NoTrajectoryEvidence,rpr,10,0.6600000000000001,0.675,-0.014999999999999968,-0.039999999999999945,0.015000000000000013,1,4,5,0.53125,1.0,False
1,RMC-NoTrajectoryEvidence,f1,10,0.7950089126559716,0.8054812834224598,-0.010472370766488348,-0.02852049910873431,0.01136363636363642,1,4,5,0.53125,1.0,False
6,RMC-NoMaximin,rpr,10,0.255,0.25,0.005000000000000002,-0.045,0.05500000000000001,4,2,4,0.9609375,1.0,False
6,RMC-NoMaximin,f1,10,0.3994173298521125,0.39231805231805233,0.007099277534060172,-0.05917502787068002,0.074965034965035,4,2,4,0.6640625,1.0,False
6,RMC-NoRelations,rpr,10,0.255,0.2899999999999999,-0.034999999999999996,-0.095,0.024999999999999994,3,1,6,0.39453125,1.0,False
6,RMC-NoRelations,f1,10,0.3994173298521125,0.44694342694342704,-0.04752609709131447,-0.12314011350967873,0.025752025752025766,3,1,6,0.515625,1.0,False
6,RMC-NoTerminalMemory,rpr,10,0.255,0.25999999999999995,-0.004999999999999996,-0.06499999999999999,0.045,4,3,3,1.0,1.0,False
6,RMC-NoTerminalMemory,f1,10,0.3994173298521125,0.4030670135017962,-0.0036496836496836354,-0.0839160839160839,0.06710622710622711,4,3,3,0.984375,1.0,False
6,RMC-NoTrajectoryEvidence,rpr,10,0.255,0.29000000000000004,-0.034999999999999996,-0.10499999999999998,0.03499999999999999,4,1,5,0.38671875,1.0,False
6,RMC-NoTrajectoryEvidence,f1,10,0.3994173298521125,0.44326554671382257,-0.04384821686171009,-0.13663254619776358,0.04208844295800819,4,1,5,0.46875,1.0,False
10,RMC-NoMaximin,rpr,10,0.53,0.59,-0.059999999999999984,-0.15999999999999998,0.04999999999999999,3,1,6,0.37109375,1.0,False
10,RMC-NoMaximin,f1,10,0.6894957983193277,0.7365546218487394,-0.047058823529411764,-0.1298319327731092,0.040896358543417353,3,1,6,0.4609375,1.0,False
10,RMC-NoRelations,rpr,10,0.53,0.47000000000000003,0.059999999999999984,0.009999999999999998,0.10999999999999996,4,6,0,0.125,1.0,False
10,RMC-NoRelations,f1,10,0.6894957983193277,0.636904761904762,0.052591036414565785,0.009523809523809513,0.09782913165266097,4,6,0,0.125,1.0,False
10,RMC-NoTerminalMemory,rpr,10,0.53,0.52,0.009999999999999998,-0.059999999999999984,0.08999999999999998,2,6,2,1.0,1.0,False
10,RMC-NoTerminalMemory,f1,10,0.6894957983193277,0.678781512605042,0.010714285714285699,-0.04803921568627449,0.07801120448179268,2,6,2,0.875,1.0,False
10,RMC-NoTrajectoryEvidence,rpr,10,0.53,0.42000000000000004,0.10999999999999996,0.059999999999999984,0.15999999999999998,8,2,0,0.0078125,0.25,False
10,RMC-NoTrajectoryEvidence,f1,10,0.6894957983193277,0.5904761904761905,0.09901960784313715,0.055952380952380885,0.14327731092436963,8,2,0,0.0078125,0.25,False
14,RMC-NoMaximin,rpr,10,0.16,0.17,-0.01,-0.05,0.030000000000000006,2,5,3,1.0,1.0,False
14,RMC-NoMaximin,f1,10,0.27272727272727276,0.28787878787878785,-0.015151515151515152,-0.07575757575757576,0.045454545454545456,2,5,3,1.0,1.0,False
14,RMC-NoRelations,rpr,10,0.16,0.21000000000000002,-0.05,-0.09,-0.01,0,6,4,0.125,1.0,False
14,RMC-NoRelations,f1,10,0.27272727272727276,0.34615384615384615,-0.07342657342657341,-0.13403263403263405,-0.015151515151515152,0,6,4,0.125,1.0,False
14,RMC-NoTerminalMemory,rpr,10,0.16,0.17,-0.01,-0.030000000000000006,0.0,0,9,1,1.0,1.0,False
14,RMC-NoTerminalMemory,f1,10,0.27272727272727276,0.2878787878787879,-0.015151515151515152,-0.045454545454545456,0.0,0,9,1,1.0,1.0,False
14,RMC-NoTrajectoryEvidence,rpr,10,0.16,0.23000000000000004,-0.06999999999999999,-0.12,-0.02,0,5,5,0.0625,1.0,False
14,RMC-NoTrajectoryEvidence,f1,10,0.27272727272727276,0.3717948717948718,-0.09906759906759906,-0.17016317016317015,-0.030303030303030304,0,5,5,0.0625,1.0,False
