config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-NoMaximin,1,1,20,1,4034386166,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399931,105.491,no_maximin,156,0,158,145,155,1,0,76300,0,0
RMC-CMSA,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399960,112.775,full,206,207,1,194,201,1,8,76035,8,0
RMC-CMSA,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,115.519,full,211,212,1,198,206,1,2,76055,2,0
RMC-CMSA,1,1,20,2,2220656915,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399925,120.947,full,226,227,1,214,221,1,3,75925,3,0
RMC-NoMaximin,1,1,20,3,3239354781,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399934,107.377,no_maximin,122,0,124,111,120,1,1,76405,1,0
RMC-NoMaximin,1,1,20,2,2220656915,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399940,218.663,no_maximin,80,0,82,73,79,1,2,76390,2,0
RMC-NoRelations,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399946,109.871,no_relations,0,153,1,139,150,1,1,76325,1,0
RMC-NoRelations,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,118.232,no_relations,0,183,1,169,177,1,0,76195,0,0
RMC-NoRelations,1,1,20,3,3239354781,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399933,116.342,no_relations,0,163,1,146,158,1,4,76265,4,0
RMC-NoTerminalMemory,1,1,20,1,4034386166,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399933,132.042,no_terminal_memory,218,219,1,0,0,0,2,76025,2,0
RMC-NoTerminalMemory,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399960,127.904,no_terminal_memory,206,207,1,0,0,0,8,76035,8,0
RMC-NoTerminalMemory,1,1,20,2,2220656915,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399932,143.558,no_terminal_memory,234,235,1,0,0,0,3,75890,3,0
RMC-NoTrajectoryEvidence,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399926,129.15,no_trajectory_evidence,209,210,1,196,204,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,130.282,no_trajectory_evidence,227,228,1,214,222,1,0,0,0,0
RMC-NoTrajectoryEvidence,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399942,113.638,no_trajectory_evidence,223,224,1,208,218,1,0,0,0,0
