config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec,control,mrmc_relation_uses,mrmc_maximin_selections,mrmc_random_selections,mrmc_terminal_memory_peak,mrmc_persistent_guidance_uses,mrmc_sparse_guidance_uses,mrmc_working_memory_peak,mrmc_evidence_observed,mrmc_working_additions,mrmc_working_promotions
RMC-CMSA,6,1,20,1,2087795920,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399929,148.452,full,182,184,1,28,165,2,6,75170,6,0
RMC-CMSA,6,1,20,2,4027479527,1.0,0.25,0.4,0.325,1.0,5,399938,151.46,full,106,109,1,17,94,3,18,76080,18,0
RMC-CMSA,1,1,20,7,4201903172,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399929,169.695,full,213,214,1,184,206,1,6,75765,6,0
RMC-CMSA,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399960,177.394,full,206,207,1,194,201,1,8,76035,8,0
RMC-CMSA,1,1,20,10,2958819918,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399945,182.073,full,218,219,1,204,213,1,6,75875,6,0
RMC-CMSA,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,183.938,full,211,212,1,198,206,1,2,76055,2,0
RMC-CMSA,1,1,20,8,559768992,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399940,185.141,full,218,219,1,206,212,1,5,76010,5,0
RMC-CMSA,1,1,20,5,1950732293,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399940,190.326,full,240,241,1,228,235,1,5,75880,5,0
RMC-CMSA,1,1,20,2,2220656915,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399925,190.911,full,226,227,1,214,221,1,3,75925,3,0
RMC-CMSA,1,1,20,4,409577597,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399941,194.683,full,242,243,1,230,241,1,1,75920,1,0
RMC-CMSA,1,1,20,9,2092010971,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399937,198.823,full,236,237,1,224,230,1,9,75900,9,0
RMC-CMSA,1,1,20,6,2403006679,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399929,202.243,full,230,231,1,216,229,1,4,75960,4,0
RMC-CMSA,10,1,20,1,3041133044,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399944,111.029,full,142,143,1,100,139,1,2,76300,2,0
RMC-CMSA,6,1,20,3,3248997195,1.0,0.25,0.4,0.325,1.0,5,399949,166.816,full,151,153,1,30,141,2,25,75550,25,0
RMC-CMSA,10,1,20,4,253359342,1.0,0.5,0.6666666666666666,0.5833333333333333,1.0,5,399949,113.166,full,153,155,1,119,154,2,2,76225,2,0
RMC-CMSA,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399943,125.633,full,193,194,1,68,192,1,23,76050,23,0
RMC-CMSA,6,1,20,4,149845851,1.0,0.15,0.2608695652173913,0.20543478260869563,1.0,3,399963,178.041,full,180,181,1,13,165,1,60,75950,60,0
RMC-CMSA,6,1,20,5,2548412932,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,6,399943,167.817,full,170,171,1,19,164,1,20,75370,20,0
RMC-CMSA,6,1,20,6,2704015161,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,8,399939,169.611,full,311,312,1,44,301,1,4,74220,4,0
RMC-CMSA,6,1,20,7,1716497545,1.0,0.25,0.4,0.325,1.0,5,399938,167.084,full,100,103,1,8,100,3,12,76020,12,0
