config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec
RMC-NoState,1,1,20,2,2220656915,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399950,114.366
RMC-NoState,1,1,20,1,4034386166,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399935,114.676
RMC-NoState,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399940,119.969
RMC-LadderMaximin,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,127.016
RMC-LadderMaximin,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,133.916
RMC-LadderMaximin,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399944,118.144
RMC-LadderRelations,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,124.131
RMC-LadderRelations,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399944,119.058
RMC-LadderRelations,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,133.245
RMC-LadderTerminal,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,124.751
RMC-LadderTerminal,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399944,120.041
RMC-LadderTerminal,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,134.339
RMC-CMSA,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,130.031
RMC-CMSA,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399960,123.744
RMC-CMSA,1,1,20,2,2220656915,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399925,132.419
