config,pid,pin,dim,repeat,seed,budget_scale,rpr,f1,score,precision,n_sol,used_eval,elapsed_sec
RMC-NoState,6,1,20,3,3248997195,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,8,399936,108.896
RMC-NoState,1,1,20,1,4034386166,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399935,115.297
RMC-NoState,1,1,20,5,1950732293,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399930,115.327
RMC-NoState,1,1,20,2,2220656915,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399950,116.132
RMC-NoState,1,1,20,3,3239354781,1.0,0.65,0.787878787878788,0.718939393939394,1.0,13,399940,121.91
RMC-NoState,1,1,20,4,409577597,1.0,0.6,0.7499999999999999,0.6749999999999999,1.0,12,399958,124.0
RMC-NoState,10,1,20,2,3080307965,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399941,78.531
RMC-NoState,10,1,20,1,3041133044,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399952,79.459
RMC-NoState,10,1,20,4,253359342,1.0,0.4,0.5714285714285715,0.48571428571428577,1.0,4,399958,82.151
RMC-NoState,6,1,20,5,2548412932,1.0,0.35,0.5185185185185185,0.43425925925925923,1.0,7,399940,115.016
RMC-NoState,6,1,20,4,149845851,1.0,0.25,0.4,0.325,1.0,5,399938,153.83
RMC-NoState,14,1,20,1,1021354410,1.0,0.3,0.4615384615384615,0.38076923076923075,1.0,3,399955,76.689
RMC-NoState,14,1,20,2,2289296825,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399973,79.418
RMC-NoState,14,1,20,3,1098493118,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399972,78.268
RMC-NoState,14,1,20,4,2880851931,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399980,79.926
RMC-NoState,14,1,20,5,3820371101,1.0,0.2,0.33333333333333337,0.2666666666666667,1.0,2,399975,80.213
RMC-LadderMaximin,1,1,20,1,4034386166,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399943,151.518
RMC-LadderMaximin,1,1,20,2,2220656915,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399935,158.486
RMC-LadderMaximin,1,1,20,3,3239354781,1.0,0.7,0.8235294117647058,0.7617647058823529,1.0,14,399944,142.025
